product name,price,discount,reviews
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 888,20%,4.6 out of 5(1553)
"Freeyond F9,2GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Black","KSh 9,790",42%,4.3 out of 5(182)
T&G Portable Wireless Bluetooth Speaker-Black,KSh 816,49%,4.1 out of 5(2573)
Fashion Men's Breathable Cotton Underwear 4pcs - Multicolor,KSh 478,49%,3.9 out of 5(60)
Fashion Sneakers Women Shoes Women's Shoes Ladies,KSh 652,49%,3.8 out of 5(162)
Fashion Men's Shoes Fashion Sneakers Casual Outdoor Easywear Trendy Shoes Running Sport Sneakers,"KSh 1,099 - KSh 1,199",31%,4.1 out of 5(77)
Generic Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,KSh 770,47%,4.2 out of 5(295)
Fashion Shoes For Women Sneakers Ladies Shoes Sneakers,KSh 652,49%,4 out of 5(81)
NIVEA Q10 Power Anti-Wrinkle Day Cream 50ml & Night Cream 50ml,"KSh 2,443",30%,4.6 out of 5(324)
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 3,315",35%,4.4 out of 5(208)
Deliya Hair Blow Dryer 2200W Hair Dryer+6 Gifts,"KSh 1,715",49%,3.7 out of 5(1426)
WEYON 32'' Inch Digital D-LED TV  +1 Years Warranty - Black,"KSh 10,990",42%,4.4 out of 5(150)
Jameson Jameson Irish Whiskey - 1 Litre,"KSh 3,145",,4.6 out of 5(152)
Generic 26cm LED Selfie Super Bright Ring Light Dimmable Fill Light,KSh 880,41%,4 out of 5(66)
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black,KSh 859,22%,4.3 out of 5(643)
Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,225",30%,4.4 out of 5(2754)
Salit Salit Premium Refined Vegetable Cooking Oil Jerrycan - 20 Litres,"KSh 4,339",13%,4.9 out of 5(20)
Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 1,400",20%,4.3 out of 5(299)
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,KSh 900,25%,4.5 out of 5(502)
Seagrams Seagrams Imperial Blue Whiskey - 750ml,KSh 980,,4.4 out of 5(119)
Fashion 6Pcs Soft Cotton Checked Men's Boxers – Multicolor,KSh 618,10%,3.7 out of 5(598)
Garnier Even & Matte Vitamin C Cleansing Foam,KSh 611,25%,4.4 out of 5(1642)
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,065",25%,4.5 out of 5(1585)
Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 1,295",,4.5 out of 5(3878)
Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 3 Litres,KSh 799,24%,4.6 out of 5(1130)
Garnier Even & Matte Vitamin C Booster Serum 15ml,KSh 850,,4 out of 5(225)
"Annov Blender & Grinder - 1.6L, 350W + 1Spoon 1Fork- BLUE","KSh 1,979",48%,4.1 out of 5(249)
"XIAOMI Redmi A1+, 6.52"", 2GB+32GB, 8.0MP, 5000mAh, 4G , Dual SIM - Black","KSh 10,499",16%,4.5 out of 5(156)
AILYONS HD-199A Electric Dry Iron Silver & Black,KSh 969,43%,4.3 out of 5(211)
"Freeyond F9,2GB+64GB,6.52"", 13.0MP,4G Smartphone 5000mAh Dual SIM Android Phone,Blue","KSh 9,992",39%,4 out of 5(278)
Bruhm 2 In 1 Blender (BBP-15400PPB) - 1.5L - 400W - Black,"KSh 1,990",50%,4.5 out of 5(60)
Fashion 6Pcs Soft Cotton Brief Men's Boxers – Waist 29-35inc,KSh 789,12%,3.9 out of 5(204)
Garnier Even & Matte Dark Spot Corrector,"KSh 1,050",,4 out of 5(2379)
Garnier Bye Acne & Dark Spots Kit,"KSh 2,972",30%,4.4 out of 5(359)
HP V250W Flash Disk With Clip - 64GB - Silver,KSh 715,45%,4.1 out of 5(2957)
Qwen Aluminum Alloy Laptop Stand Computer Stand,KSh 785,48%,4.7 out of 5(287)
Fashion Women Shoes Ladies Shoes Sneakers Women Shoes,KSh 559,42%,3.7 out of 5(94)
Fashion Mens Sneakers Shoes Breathable Sneakers Sport Shoes Causal Shoes -Gray,KSh 650,49%,3.7 out of 5(42)
Fashion T-shirt 3 Pcs Men's Short Sleeve 100% High Quality,KSh 941,44%,3.9 out of 5(99)
Superfoam Morning Glory Fibre Pillow,KSh 249,36%,4.4 out of 5(139)
Fashion Printing Sports T-shirts+Pants Suit(SHANYES),KSh 890,50%,4 out of 5(54)
"Vitron HTC3200S,32""Inch Frameless Smart Android TV NetflixYoutube+FREE TVGuard+Bracket","KSh 14,799",41%,4.4 out of 5(643)
TC 3 Column Portable Wardrobe-Brown,"KSh 2,529",44%,3.9 out of 5(319)
Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,"KSh 1,200",40%,4.1 out of 5(122)
Soko Soko Wheat flour - 2Kg,KSh 190,10%,4.5 out of 5(281)
HP 64GB Metallic Flash Disk Pen Drive+Free OTG,KSh 745,47%,4.3 out of 5(185)
Generic Silicone Anti-shock Wireless Earphone Full Protective Cover Case For  1 2-Mustard Green,KSh 125,49%,3.4 out of 5(11)
Garnier Even & Matte Vitamin C Micellar Cleansing Water - 400ml,KSh 559,25%,4.5 out of 5(857)
Qwen 64GB Flash Disks USB Flash Drive High Speed,KSh 629,37%,3.9 out of 5(59)
"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,48h - 50ml (Pack Of 2)",KSh 442,51%,4.6 out of 5(418)
"Skilltech 15"" To 43"" Tilting Wall Mount Bracket",KSh 540,40%,4.3 out of 5(327)
Fashion Ladies Sneaker Shoes Causal Shoes Buy A Size Larger Than Usual White,KSh 950 - KSh 980,35%,4.2 out of 5(118)
AILYONS HD-198A Electric Dry Iron Box White & Blue,KSh 859,14%,4 out of 5(418)
"Generic Multicolor Duvet Blanket, Sheet, 2 Pillow Cases","KSh 1,749 - KSh 1,889",46%,4 out of 5(75)
Soko Soko Maize Meal - 2Kg,KSh 219,7%,4.5 out of 5(595)
"XIAOMI Redmi Note 12, 6.67'' , 4GB+128GB, 50MP, Dual Sim, 33W Fast Charge-Onyx Gray","KSh 23,499",19%,4.4 out of 5(59)
"Generic 14""-42"" TV Flat Panel Wall Bracket Holder Black",KSh 335,26%,4.1 out of 5(2113)
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz","KSh 1,140",40%,4.7 out of 5(236)
"XIAOMI Redmi 12C, 6.71"", 4GB + 128GB, 50MP CAM, 5000mAh, Grey + Smart Watch & Earbuds","KSh 17,599",41%,4.2 out of 5(23)
Garnier Skin Active Pure Charcoal Black Tissue Face Mask,KSh 350,,4.5 out of 5(1715)
"Infinix Hot 30i, 6.56"", 4GB RAM, 128GB, 5000mAh, (DUAL SIM), 4G -  Mirror Black","KSh 19,999",13%,4.4 out of 5(79)
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black","KSh 15,390",23%,4.3 out of 5(122)
"Vitron HTC3200S,32"" Inch Frameless Smart Android TV, Inbuilt Decoder Netflix, Appstore","KSh 13,999",33%,4.3 out of 5(418)
Generic Istanbul 2 Modern TV Stand With LED Lights,"KSh 8,499",39%,4.3 out of 5(50)
NIVEA Perfect & Matte Oil Control Face Wash 50ml,KSh 350,,4.4 out of 5(462)
